PUBLISHED_DATE,STATUS,ESTIMATE_SOURCE,PFMA,YEAR,MONTH,DISPOSITION,SPECIES,SPECIES_CODE,SCIENTIFIC_NAME,ESTIMATE,STANDARD_ERROR,PERCENT_STANDARD_ERROR
"SEPTEMBER01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 29,1981,August,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,8705,1393.061,0.16
"JUNE     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 13,1982,May,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,7268,903.78,0.124
"JUNE     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 13,1982,May,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,1278,138.611,0.108
"JUNE     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 13,1982,May,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,5379,1274.733,0.237
"JUNE     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 14,1982,May,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,25302,9774.357,0.386
"JUNE     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 14,1982,May,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,2803,881.696,0.315
"JUNE     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 14,1982,May,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,46518,17729.156,0.381
"JUNE     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 15,1982,May,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,421,99.925,0.237
"JUNE     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 15,1982,May,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,221,87.664,0.397
"JUNE     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 15,1982,May,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,351,91.984,0.262
"JUNE     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 16,1982,May,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,6545,607.714,0.093
"JUNE     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 16,1982,May,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,1558,163.31,0.105
"JUNE     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 16,1982,May,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,8608,851.594,0.099
"JUNE     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 17,1982,May,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,4391,502.688,0.114
"JUNE     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 17,1982,May,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,2501,307.667,0.123
"JUNE     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 17,1982,May,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,1158,133.473,0.115
"JUNE     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 18,1982,May,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,3383,542.172,0.16
"JUNE     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 18,1982,May,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,679,152.46,0.225
"JUNE     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 18,1982,May,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,322,72.732,0.226
"JUNE     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 19,1982,May,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,7787,920.736,0.118
"JUNE     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 19,1982,May,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,1549,273.514,0.177
"JUNE     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 19,1982,May,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,338,83.096,0.246
"JUNE     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 20,1982,May,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,3152,780,0.247
"JUNE     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 20,1982,May,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,667,192,0.288
"JUNE     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 20,1982,May,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,124,47,0.379
"JUNE     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 28,1982,May,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,3574,493.183,0.138
"JUNE     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 28,1982,May,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,900,124.615,0.138
"JUNE     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 28,1982,May,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,17,7.211,0.424
"JUNE     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 29,1982,May,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,2951,545.705,0.185
"JUNE     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 29,1982,May,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,698,127.13,0.182
"JUNE     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 29,1982,May,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,192,49.497,0.258
"JULY     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 13,1982,June,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,19493,1397.013,0.072
"JULY     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 13,1982,June,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,3059,239.341,0.078
"JULY     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 13,1982,June,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,22795,1734.717,0.076
"JULY     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 14,1982,June,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,23135,3155.259,0.136
"JULY     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 14,1982,June,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,3300,376.238,0.114
"JULY     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 14,1982,June,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,33441,4304.233,0.129
"JULY     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 15,1982,June,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,1623,376.312,0.232
"JULY     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 15,1982,June,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,176,51.371,0.292
"JULY     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 15,1982,June,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,1575,376.577,0.239
"JULY     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 16,1982,June,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,7065,779.908,0.11
"JULY     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 16,1982,June,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,870,125.208,0.144
"JULY     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 16,1982,June,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,5654,981.617,0.174
"JULY     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 17,1982,June,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,7052,755.899,0.107
"JULY     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 17,1982,June,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,1508,165.221,0.11
"JULY     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 17,1982,June,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,6613,905.208,0.137
"JULY     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 18,1982,June,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,6637,821.415,0.124
"JULY     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 18,1982,June,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,2215,343.77,0.155
"JULY     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 18,1982,June,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,616,113.578,0.184
"JULY     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 19,1982,June,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,8935,905.583,0.101
"JULY     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 19,1982,June,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,3605,380.064,0.105
"JULY     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 19,1982,June,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,299,70.207,0.235
"JULY     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 20,1982,June,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,4376,724,0.165
"JULY     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 20,1982,June,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,1405,185,0.132
"JULY     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 20,1982,June,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,42,11,0.262
"JULY     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 28,1982,June,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,5234,856.123,0.164
"JULY     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 28,1982,June,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,753,131.198,0.174
"JULY     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 28,1982,June,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,443,95.399,0.215
"JULY     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 29,1982,June,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,2021,582.447,0.288
"JULY     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 29,1982,June,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,290,82.879,0.286
"JULY     01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 29,1982,June,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,384,105.119,0.274
"AUGUST   01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 13,1982,July,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,31408,1872.495,0.06
"AUGUST   01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 13,1982,July,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,3652,241.595,0.066
"AUGUST   01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 13,1982,July,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,59409,3518.574,0.059
"AUGUST   01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 14,1982,July,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,30838,3033.526,0.098
"AUGUST   01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 14,1982,July,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,3648,408.123,0.112
"AUGUST   01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 14,1982,July,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,41639,4304.26,0.103
"AUGUST   01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 15,1982,July,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,2093,284.554,0.136
"AUGUST   01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 15,1982,July,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,96,15.33,0.16
"AUGUST   01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 15,1982,July,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,4709,706.05,0.15
"AUGUST   01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 16,1982,July,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,14466,1560.547,0.108
"AUGUST   01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 16,1982,July,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,2168,375.71,0.173
"AUGUST   01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 16,1982,July,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,11989,1509.637,0.126
"AUGUST   01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 17,1982,July,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,16841,1639.351,0.097
"AUGUST   01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 17,1982,July,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,5778,584.198,0.101
"AUGUST   01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 17,1982,July,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,6740,662.937,0.098
"AUGUST   01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 18,1982,July,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,14761,1873.768,0.127
"AUGUST   01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 18,1982,July,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,5385,706.29,0.131
"AUGUST   01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 18,1982,July,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,189,38.639,0.204
"AUGUST   01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 19,1982,July,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,12914,2105.697,0.163
"AUGUST   01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 19,1982,July,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,4215,649.148,0.154
"AUGUST   01, 1982 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 19,1982,July,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,1866,354.552,0.19
